,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],,Es Sensible,Apto VLM
,5159,  64 ,  -   ,  0.0002 ,  0.0012 ,  0.0473 ,  6 ,  240 ,  0.07 ,  31.00 ,  31.00 ,  205.00 ,,NO,SI
,106,"  2,375 ",  361 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.06 ,  30.00 ,  30.00 ,  200.00 ,,NO,SI
,107,"  3,153 ",  657 ,  0.0002 ,  0.0013 ,  0.0504 ,  6 ,  240 ,  0.06 ,  30.00 ,  30.00 ,  200.00 ,,NO,SI
,108,"  1,710 ",  326 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  0.09 ,  33.50 ,  33.50 ,  210.00 ,,NO,SI
,109,  873 ,  203 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  0.09 ,  33.50 ,  33.50 ,  210.00 ,,NO,SI
,110,"  1,514 ",  291 ,  0.0002 ,  0.0015 ,  0.0294 ,  6 ,  120 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,111,  695 ,  142 ,  0.0003 ,  0.0019 ,  0.0310 ,  6 ,  96 ,  0.13 ,  35.43 ,  35.43 ,  216.00 ,,NO,SI
,112,  59 ,  11 ,  0.0160 ,  -   ,  0.0160 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,113,"  1,439 ",  245 ,  0.0008 ,  0.0076 ,  0.0458 ,  10 ,  60 ,  0.40 ,  27.00 ,  110.00 ,  250.00 ,,NO,SI
,114,  51 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.37 ,  25.00 ,  70.00 ,  50.00 ,,NO,SI
,115,  58 ,  8 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.32 ,  30.00 ,  55.00 ,  45.00 ,,NO,SI
,116,  50 ,  4 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.25 ,  30.00 ,  45.00 ,  40.00 ,,NO,SI
,117,  30 ,  6 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.21 ,  32.00 ,  45.00 ,  39.00 ,,NO,SI
,118,  24 ,  2 ,  0.0001 ,  -   ,  0.0060 ,  -   ,  50 ,  0.18 ,  35.00 ,  45.00 ,  40.00 ,,NO,SI
,119,"  1,122 ",  209 ,  0.0004 ,  -   ,  0.0388 ,  -   ,  100 ,  0.14 ,  14.30 ,  110.00 ,  150.00 ,,NO,SI
,120,  631 ,  105 ,  0.0022 ,  -   ,  0.0431 ,  -   ,  20 ,  1.54 ,  30.00 ,  135.00 ,  475.00 ,,NO,SI
,121,  609 ,  99 ,  0.0034 ,  -   ,  0.0340 ,  -   ,  10 ,  2.40 ,  34.07 ,  155.00 ,  630.00 ,,NO,SI
,5160,  16 ,  -   ,  0.0033 , #VALUE!,  0.0332 , -,  10 ,  2.40 ,  34.10 ,  155.00 ,  630.00 ,,NO,SI
,122,  133 ,  25 ,  0.0069 ,  -   ,  0.0344 ,  -   ,  5 ,  5.48 ,  45.00 ,  190.00 ,  930.00 ,,NO,SI
,123,  636 ,  97 ,  0.0027 ,  -   ,  0.0544 ,  -   ,  20 ,  1.02 ,  60.00 ,  117.00 ,  325.00 ,,NO,SI
,124,"  1,068 ",  190 ,  0.0011 ,  0.0136 ,  0.0543 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,,NO,SI
,125,  957 ,  150 ,  0.0011 ,  0.0137 ,  0.0546 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,,NO,SI
,126,"  4,308 ",  643 ,  0.0011 ,  0.0136 ,  0.0543 ,  12 ,  48 ,  0.39 ,  35.00 ,  105.00 ,  315.00 ,,NO,SI
,127,  975 ,  679 ,  0.0008 ,  0.0202 ,  0.0806 ,  25 ,  100 ,  0.24 ,  26.00 ,  100.00 ,  295.00 ,,NO,SI
,5161,"  2,972 ",  -   ,  0.0008 ,  0.0192 ,  0.0767 ,  25 ,  100 ,  0.24 ,  26.00 ,  100.00 ,  295.00 ,,NO,SI
,128,  202 ,  29 ,  0.0026 ,  -   ,  0.0315 ,  -   ,  12 ,  1.15 ,  73.04 ,  105.00 ,  260.00 ,,NO,SI
,129,"  1,137 ",  170 ,  0.0039 ,  -   ,  0.0389 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,130,  802 ,  121 ,  0.0044 ,  -   ,  0.0438 ,  -   ,  10 ,  0.65 ,  55.00 ,  140.00 ,  240.00 ,,NO,SI
,131,"  1,091 ",  170 ,  0.0015 ,  -   ,  0.0292 ,  -   ,  20 ,  0.45 ,  70.00 ,  70.00 ,  260.00 ,,NO,SI
,132,  223 ,  70 ,  0.0042 ,  -   ,  0.0504 ,  -   ,  12 ,  -   ,  -   ,  -   ,  -   ,,NO,SI
,5162,  172 ,  -   ,  0.0074 , #VALUE!,  0.0886 , -,  12 ,  1.35 ,  35.00 ,  285.00 ,  740.00 ,,NO,SI
,133,  918 ,  146 ,  0.0000 ,  -   ,  0.0270 ,  -   ,"  1,000 ",  0.02 ,  12.80 ,  32.75 ,  55.85 ,,NO,SI
,134,"  6,183 ",  988 ,  0.0001 ,  0.0053 ,  0.0265 ,  100 ,  500 ,  0.04 ,  17.15 ,  40.40 ,  79.35 ,,NO,SI
,135,"  1,214 ",  184 ,  0.0001 ,  0.0018 ,  0.0267 ,  20 ,  300 ,  0.07 ,  21.83 ,  44.50 ,  84.84 ,,NO,SI
,136,"  7,090 ","  1,086 ",  0.0003 ,  0.0084 ,  0.0168 ,  25 ,  50 ,  0.30 ,  4.53 ,  200.00 ,  242.00 ,,NO,SI
,137,"  6,361 ","  1,000 ",  0.0003 ,  0.0084 ,  0.0168 ,  25 ,  50 ,  0.30 ,  5.00 ,  200.00 ,  245.00 ,,NO,SI
,138,  971 ,  193 ,  0.0011 ,  -   ,  0.0535 ,  -   ,  50 ,  0.38 ,  27.50 ,  309.00 ,  105.00 ,,NO,SI
,139,  275 ,  50 ,  0.0011 ,  -   ,  0.0550 ,  -   ,  50 ,  0.45 ,  31.00 ,  85.00 ,  185.00 ,,NO,SI
,140,  127 ,  31 ,  0.0040 ,  -   ,  0.2000 ,  -   ,  50 ,  0.24 ,  37.50 ,  73.00 ,  130.00 ,,NO,SI
