,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CODIGOS INVOLUCRADOS EN PEDIDOS JUNIO NOVIEMBRE,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Código II, Q. según pedidos, Promedio VTA, m3 x unidad, m3 x Inner, m3 x Master, Unidades x Inner, Unidades x Master, Peso [kgrs], Alto [mm], Ancho [mm], Largo [mm],
,2580,  456 ,  81 ,  0.0001 ,  0.0040 ,  0.0079 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2581,"  2,011 ",  303 ,  0.0001 ,  0.0045 ,  0.0090 ,  50 ,  100 ,  0.14 ,  17.64 ,  17.18 ,  170.00 ,
,2582,  609 ,  103 ,  0.0026 ,  -   ,  0.0922 ,  -   ,  36 ,  0.44 ,  61.40 ,  200.00 ,  180.00 ,
,2583,  334 ,  48 ,  0.0034 ,  -   ,  0.0678 ,  -   ,  20 ,  0.42 ,  63.30 ,  135.00 ,  335.00 ,
,2584,  668 ,  92 ,  0.0002 ,  0.0090 ,  0.0180 ,  50 ,  100 ,  0.08 ,  25.00 ,  25.00 ,  190.00 ,
,2585,"  1,411 ",  237 ,  0.0004 ,  0.0045 ,  0.0180 ,  12 ,  48 ,  0.25 ,  34.00 ,  65.00 ,  105.00 ,
,2586,"  1,688 ",  279 ,  0.0004 ,  0.0025 ,  0.0302 ,  6 ,  72 ,  0.18 ,  27.30 ,  110.00 ,  140.00 ,
,2587,  438 ,  83 ,  0.0096 ,  -   ,  0.0480 ,  -   ,  5 ,  2.57 ,  81.00 ,  310.00 ,  240.00 ,
,2588,  433 ,  92 ,  0.0095 ,  -   ,  0.0762 ,  -   ,  8 ,  3.06 ,  56.60 ,  250.00 ,  350.00 ,
,5254,  11 ,  -   ,  0.0050 , #VALUE!,  0.0396 , -,  8 ,  3.06 ,  56.60 ,  250.00 ,  350.00 ,
,2589,  172 ,  76 ,  0.0002 ,  -   ,  0.0229 ,  -   ,  100 ,  0.06 ,  22.07 ,  60.00 ,  260.00 ,
,5255,  415 ,  -   ,  0.0003 , #VALUE!,  0.0344 , -,  100 ,  0.06 ,  22.10 ,  60.00 ,  260.00 ,
,2590,  148 ,  31 ,  0.0072 ,  -   ,  0.0360 ,  -   ,  5 ,  3.94 ,  81.81 ,  300.00 ,  235.00 ,
,2591,  96 ,  53 ,  0.0004 ,  0.0020 ,  0.0160 ,  5 ,  40 ,  0.30 ,  31.60 ,  70.00 ,  290.00 ,
,5256,  281 ,  -   ,  0.0006 ,  0.0032 ,  0.0256 ,  5 ,  40 ,  0.30 ,  31.60 ,  70.00 ,  290.00 ,
,2592,  705 ,  124 ,  0.0163 ,  -   ,  0.0654 ,  -   ,  4 ,  5.31 ,  205.00 ,  215.00 ,  330.00 ,
,2593,  67 ,  9 ,  0.0184 ,  -   ,  0.0368 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,
,2594,  49 ,  163 ,  0.0009 ,  0.0051 ,  0.0306 ,  6 ,  36 ,  0.52 ,  31.00 ,  90.00 ,  360.00 ,
,5257,  875 ,  -   ,  0.0010 ,  0.0060 ,  0.0360 ,  6 ,  36 ,  0.52 ,  31.00 ,  90.00 ,  360.00 ,
,2595,  168 ,  33 ,  0.0004 ,  0.0024 ,  0.0192 ,  6 ,  48 ,  0.35 ,  18.74 ,  55.41 ,  300.00 ,
,2596,  183 ,  36 ,  0.0004 ,  0.0024 ,  0.0192 ,  6 ,  48 ,  0.38 ,  24.42 ,  57.13 ,  310.00 ,
,2597,  396 ,  50 ,  0.0004 ,  0.0025 ,  0.0200 ,  6 ,  48 ,  0.43 ,  26.16 ,  59.50 ,  320.00 ,
,2598,  279 ,  53 ,  0.0004 ,  0.0024 ,  0.0194 ,  6 ,  48 ,  0.47 ,  24.21 ,  68.78 ,  330.00 ,
,2599,  183 ,  31 ,  0.0006 ,  0.0035 ,  0.0139 ,  6 ,  24 ,  0.45 ,  17.55 ,  64.00 ,  340.00 ,
,2600,  234 ,  44 ,  0.0006 ,  0.0035 ,  0.0139 ,  6 ,  24 ,  0.56 ,  24.18 ,  65.35 ,  350.00 ,
,2601,  323 ,  51 ,  0.0006 ,  0.0035 ,  0.0139 ,  6 ,  24 ,  0.66 ,  27.77 ,  70.70 ,  365.00 ,
,2602,  424 ,  58 ,  0.0007 ,  0.0022 ,  0.0090 ,  3 ,  12 ,  0.72 ,  25.68 ,  64.31 ,  400.00 ,
,2603,  369 ,  55 ,  0.0007 ,  0.0022 ,  0.0090 ,  3 ,  12 ,  0.72 ,  18.36 ,  64.64 ,  405.00 ,
,2604,  535 ,  87 ,  0.0011 ,  0.0032 ,  0.0129 ,  3 ,  12 ,  1.08 ,  27.50 ,  77.70 ,  450.00 ,
,2605,  228 ,  33 ,  0.0011 ,  0.0032 ,  0.0130 ,  3 ,  12 ,  0.98 ,  19.40 ,  76.47 ,  445.00 ,
,2606,  337 ,  50 ,  0.0011 ,  0.0032 ,  0.0130 ,  3 ,  12 ,  1.09 ,  20.00 ,  77.70 ,  445.00 ,
,2607,  287 ,  44 ,  0.0014 ,  0.0043 ,  0.0085 ,  3 ,  6 ,  1.55 ,  21.00 ,  85.65 ,  470.00 ,
,2608,  288 ,  44 ,  0.0014 ,  0.0043 ,  0.0085 ,  3 ,  6 ,  1.63 ,  23.00 ,  87.02 ,  470.00 ,
,2609,  93 ,  16 ,  0.0008 ,  0.0031 ,  0.0184 ,  4 ,  24 ,  1.00 ,  90.00 ,  90.00 ,  90.00 ,
,2610,  69 ,  9 ,  0.0011 ,  -   ,  0.0138 ,  -   ,  12 ,  1.66 ,  75.28 ,  75.28 ,  74.65 ,
,5258,  4 ,  -   ,  0.0004 , #VALUE!,  0.0051 , -,  12 ,  1.66 ,  75.30 ,  75.30 ,  74.70 ,
,2611,"  2,347 ",  355 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  0.05 ,  18.50 ,  51.00 ,  195.00 ,
,2612,"  4,051 ",  563 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  -   ,  -   ,  -   ,  -   ,
,2613,"  6,259 ",  985 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  0.06 ,  18.50 ,  55.00 ,  205.00 ,
,2614,"  7,605 ",  985 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  0.06 ,  18.50 ,  65.00 ,  210.00 ,
,2615,"  6,417 ",  983 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  0.07 ,  18.50 ,  80.00 ,  210.00 ,
,2616,"  3,023 ",  385 ,  0.0002 ,  0.0018 ,  0.0360 ,  12 ,  240 ,  0.07 ,  18.00 ,  80.00 ,  210.00 ,
,2617,"  4,821 ",  747 ,  0.0002 ,  0.0025 ,  0.0502 ,  12 ,  240 ,  0.08 ,  18.00 ,  100.00 ,  210.00 ,
,2618,"  3,720 ",  580 ,  0.0002 ,  0.0025 ,  0.0252 ,  12 ,  120 ,  0.10 ,  18.00 ,  130.00 ,  210.00 ,
,2619,"  3,757 ",  577 ,  0.0002 ,  0.0028 ,  0.0284 ,  12 ,  120 ,  0.10 ,  18.00 ,  150.00 ,  210.00 ,
,2620,  224 ,  40 ,  0.0007 ,  -   ,  0.0073 ,  -   ,  10 ,  1.94 ,  40.92 ,  120.00 ,  135.00 ,
,5259,  6 ,  -   ,  0.0007 , #VALUE!,  0.0066 , -,  10 ,  1.94 ,  40.90 ,  120.00 ,  135.00 ,
,2621,  288 ,  35 ,  0.0022 ,  -   ,  0.0219 ,  -   ,  10 ,  2.19 ,  60.00 ,  95.00 ,  135.00 ,
,5260,  8 ,  -   ,  0.0008 , #VALUE!,  0.0077 , -,  10 ,  2.19 ,  60.00 ,  95.00 ,  135.00 ,
,2622,  261 ,  37 ,  0.0011 ,  -   ,  0.0063 ,  -   ,  6 ,  2.62 ,  70.00 ,  95.00 ,  135.00 ,
,5261,  2 ,  -   ,  0.0009 , #VALUE!,  0.0054 , -,  6 ,  2.62 ,  70.00 ,  95.00 ,  135.00 ,
,2623,  218 ,  33 ,  0.0013 ,  -   ,  0.0081 ,  -   ,  6 ,  3.43 ,  90.00 ,  95.00 ,  135.00 ,
,5262,  2 ,  -   ,  0.0012 , #VALUE!,  0.0069 , -,  6 ,  3.43 ,  90.00 ,  95.00 ,  135.00 ,
,2624,  403 ,  80 ,  0.0001 ,  0.0085 ,  0.0340 ,  100 ,  400 ,  0.06 ,  3.50 ,  90.00 ,  220.00 ,
,2625,  418 ,  74 ,  0.0001 ,  0.0100 ,  0.0400 ,  100 ,  400 ,  0.05 ,  3.50 ,  70.00 ,  250.00 ,
,2626,  409 ,  66 ,  0.0001 ,  0.0078 ,  0.0312 ,  100 ,  400 ,  0.05 ,  3.15 ,  90.00 ,  200.00 ,
,2627,  185 ,  43 ,  0.0001 ,  0.0066 ,  0.0264 ,  100 ,  400 ,  0.03 ,  3.50 ,  80.00 ,  170.00 ,
,2628,  443 ,  60 ,  0.0003 ,  0.0056 ,  0.0222 ,  20 ,  80 ,  0.06 ,  4.85 ,  120.00 ,  170.00 ,
,2629,  397 ,  70 ,  0.0020 ,  0.0100 ,  0.0600 ,  5 ,  30 ,  0.72 ,  20.00 ,  275.00 ,  255.00 ,
,2630,  194 ,  40 ,  0.0006 ,  0.0038 ,  0.0230 ,  6 ,  36 ,  0.36 ,  22.00 ,  140.00 ,  260.00 ,
,2631,  807 ,  151 ,  0.0033 ,  -   ,  0.0329 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,
,2632,"  1,148 ",  184 ,  0.0004 ,  -   ,  0.0078 ,  -   ,  20 ,  1.00 ,  18.70 ,  90.00 ,  340.00 ,
,2633,"  1,556 ",  289 ,  0.0019 ,  -   ,  0.0078 ,  -   ,  4 ,  -   ,  -   ,  -   ,  -   ,
,2634,"  7,012 ","  1,024 ",  0.0004 ,  -   ,  0.0081 ,  -   ,  20 ,  1.00 ,  15.00 ,  60.00 ,  350.00 ,
,2635,"  8,645 ","  1,540 ",  0.0020 ,  -   ,  0.0081 ,  -   ,  4 ,  5.00 ,  55.00 ,  85.00 ,  360.00 ,
,2636,"  1,778 ",  251 ,  0.0004 ,  -   ,  0.0081 ,  -   ,  20 ,  1.02 ,  18.50 ,  80.00 ,  435.00 ,
,2637,"  2,944 ",  509 ,  0.0020 ,  -   ,  0.0081 ,  -   ,  4 ,  5.00 ,  60.00 ,  360.00 ,  85.00 ,
,2638,  762 ,  137 ,  0.0019 ,  -   ,  0.0078 ,  -   ,  4 ,  5.10 ,  60.00 ,  310.00 ,  90.00 ,
,2639,"  1,025 ",  151 ,  0.0020 ,  -   ,  0.0081 ,  -   ,  4 ,  5.13 ,  59.65 ,  83.00 ,  360.00 ,
,2640,  214 ,  39 ,  0.0023 ,  -   ,  0.0092 ,  -   ,  4 ,  5.00 ,  25.74 ,  82.00 ,  410.00 ,
,2641,"  6,466 ",  966 ,  0.0007 ,  -   ,  0.0136 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2642,  739 ,  125 ,  0.0006 ,  -   ,  0.0006 ,  -   ,  1 ,  5.46 ,  58.59 ,  215.00 ,  215.00 ,
,2643,"  3,339 ",  474 ,  0.0007 ,  -   ,  0.0136 ,  -   ,  20 ,  1.11 ,  50.00 ,  110.00 ,  110.00 ,
,2644,  413 ,  76 ,  0.0006 ,  -   ,  0.0006 ,  -   ,  1 ,  5.44 ,  59.10 ,  210.00 ,  210.00 ,
,2645,  43 ,  50 ,  0.0016 ,  -   ,  0.0564 ,  -   ,  36 ,  0.33 ,  55.65 ,  87.50 ,  230.00 ,
,2647,  810 ,  113 ,  0.0008 ,  0.0046 ,  0.0276 ,  6 ,  36 ,  0.45 ,  28.00 ,  100.00 ,  300.00 ,
,2648,"  1,939 ",  297 ,  0.0006 ,  0.0063 ,  0.0375 ,  10 ,  60 ,  -   ,  -   ,  -   ,  -   ,
,2649,"  2,098 ",  330 ,  0.0009 ,  0.0092 ,  0.0368 ,  10 ,  40 ,  -   ,  -   ,  -   ,  -   ,
,2650,"  1,099 ",  169 ,  0.0016 ,  0.0327 ,  0.0327 ,  20 ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2651,  267 ,  40 ,  0.0003 ,  0.0033 ,  0.0264 ,  12 ,  96 ,  0.03 ,  15.00 ,  95.00 ,  125.00 ,
,2652,  214 ,  34 ,  0.0003 ,  0.0033 ,  0.0264 ,  12 ,  96 ,  0.03 ,  14.80 ,  95.00 ,  135.00 ,
,2653,  363 ,  55 ,  0.0003 ,  0.0033 ,  0.0264 ,  12 ,  96 ,  0.04 ,  15.00 ,  95.00 ,  150.00 ,
,2654,  321 ,  47 ,  0.0005 ,  0.0056 ,  0.0337 ,  12 ,  72 ,  0.08 ,  19.00 ,  115.00 ,  155.00 ,
,2655,  209 ,  34 ,  0.0005 ,  0.0056 ,  0.0337 ,  12 ,  72 ,  0.10 ,  18.60 ,  115.00 ,  180.00 ,
,2656,  178 ,  25 ,  0.0014 ,  0.0169 ,  0.0338 ,  12 ,  24 ,  0.17 ,  22.45 ,  135.00 ,  195.00 ,
,2657,  123 ,  19 ,  0.0014 ,  0.0169 ,  0.0338 ,  12 ,  24 ,  0.23 ,  23.35 ,  135.00 ,  190.00 ,
,2658,  184 ,  35 ,  0.0041 ,  0.0245 ,  0.0489 ,  6 ,  12 ,  0.83 ,  30.00 ,  300.00 ,  360.00 ,
,5263,  1 ,  -   ,  0.0032 ,  0.0194 ,  0.0389 ,  6 ,  12 ,  0.83 ,  30.00 ,  300.00 ,  360.00 ,
,2659,  27 ,  6 ,  0.0039 ,  -   ,  0.0386 ,  -   ,  10 ,  -   ,  -   ,  -   ,  -   ,
,2660,"  3,397 ",  774 ,  0.0306 ,  -   ,  0.0613 ,  -   ,  2 ,  14.32 ,  110.00 ,  403.00 ,  595.00 ,
,2661,"  1,003 ",  137 ,  0.0002 ,  -   ,  0.1090 ,  -   ,  500 ,  -   ,  -   ,  -   ,  -   ,
,2662,"  1,535 ",  181 ,  0.0002 ,  -   ,  0.1090 ,  -   ,  500 ,  -   ,  -   ,  -   ,  -   ,
,2663,"  1,363 ",  209 ,  0.0002 ,  -   ,  0.1090 ,  -   ,  500 ,  -   ,  -   ,  -   ,  -   ,
,2664,  980 ,  170 ,  0.0002 ,  -   ,  0.1086 ,  -   ,  600 ,  -   ,  -   ,  -   ,  -   ,
,2665,"  1,382 ",  215 ,  0.0002 ,  -   ,  0.1086 ,  -   ,  600 ,  -   ,  -   ,  -   ,  -   ,
,2666,"  2,565 ",  263 ,  0.0002 ,  -   ,  0.1086 ,  -   ,  600 ,  -   ,  -   ,  -   ,  -   ,
,2667,  28 ,#N/A,#N/A,#N/A,#N/A,  -   ,  1 ,#N/A,#N/A,#N/A,#N/A,
,2668,"  1,408 ",  224 ,  0.0014 ,  -   ,  0.0278 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2669,"  1,126 ",  175 ,  0.0013 ,  -   ,  0.0251 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2670,"  1,301 ",  194 ,  0.0010 ,  -   ,  0.0206 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2671,  973 ,  170 ,  0.0009 ,  -   ,  0.0173 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2672,  991 ,  172 ,  0.0008 ,  -   ,  0.0158 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2673,  664 ,  92 ,  0.0008 ,  -   ,  0.0158 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   ,
,2674,  409 ,  76 ,  0.0008 ,  0.0082 ,  0.0820 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2675,  289 ,  52 ,  0.0009 ,  0.0086 ,  0.0856 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2676,  336 ,  50 ,  0.0009 ,  0.0086 ,  0.0856 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2677,  319 ,  46 ,  0.0009 ,  0.0086 ,  0.0856 ,  10 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2678,"  1,678 ",  275 ,  0.0019 ,  -   ,  0.0152 ,  -   ,  8 ,#N/A,#N/A,#N/A,#N/A,
,2679,  259 ,  44 ,  0.0027 ,  0.0164 ,  0.0329 ,  6 ,  12 ,  -   ,  -   ,  -   ,  -   ,
,2680,  405 ,  52 ,  0.0003 ,  0.0040 ,  0.0158 ,  12 ,  48 ,  -   ,  -   ,  -   ,  -   ,
,2681,  494 ,  71 ,  0.0005 ,  0.0061 ,  0.0182 ,  12 ,  36 ,  -   ,  -   ,  -   ,  -   ,
,2682,  481 ,  60 ,  0.0008 ,  0.0046 ,  0.0183 ,  6 ,  24 ,  -   ,  -   ,  -   ,  -   ,
,2683,  300 ,  40 ,  0.0011 ,  0.0063 ,  0.0252 ,  6 ,  24 ,  -   ,  -   ,  -   ,  -   ,
,2684,  11 ,  74 ,  0.0105 ,  0.2094 ,  0.0838 ,  20 ,  8 ,  -   ,  -   ,  -   ,  -   ,
,5264,  460 ,  -   ,  0.0078 , #VALUE!,  0.0627 , -,  8 ,  0.56 ,  160.00 ,  200.00 ,  245.00 ,
,2685,  5 ,  61 ,  0.0105 ,  0.2094 ,  0.0838 ,  20 ,  8 ,  -   ,  -   ,  -   ,  -   ,
,5265,  388 ,  -   ,  0.0078 , #VALUE!,  0.0627 , -,  8 ,  0.62 ,  160.00 ,  200.00 ,  245.00 ,
,2686,  106 ,  12 ,  0.0196 ,  -   ,  0.1570 ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   ,
,2687,  92 ,  15 ,  0.0196 ,  -   ,  0.1570 ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   ,
,2688,"  2,072 ",  279 ,  0.0003 ,  0.0016 ,  0.0129 ,  6 ,  48 ,  0.17 ,  31.40 ,  79.00 ,  218.00 ,
,5266,  23 ,  -   ,  0.0005 ,  0.0032 ,  0.0259 ,  6 ,  48 ,  0.17 ,  31.40 ,  79.00 ,  218.00 ,
,2689,"  1,997 ",  321 ,  0.0006 ,  0.0038 ,  0.0305 ,  6 ,  48 ,  0.23 ,  30.00 ,  92.00 ,  250.00 ,
,5267,  150 ,  -   ,  0.0007 ,  0.0041 ,  0.0331 ,  6 ,  48 ,  0.23 ,  30.00 ,  92.00 ,  250.00 ,
,2690,"  1,820 ",  240 ,  0.0004 ,  0.0042 ,  0.0339 ,  12 ,  96 ,  0.18 ,  28.00 ,  79.00 ,  218.00 ,
,2691,  838 ,  132 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2692,  987 ,  308 ,  0.0007 ,  0.0089 ,  0.0443 ,  12 ,  60 ,  -   ,  -   ,  -   ,  -   ,
,5268,  996 ,  -   ,  0.0006 ,  0.0076 ,  0.0378 ,  12 ,  60 ,  0.31 ,  275.00 ,  91.70 ,  25.00 ,
,2693,  35 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  -   ,  -   ,  -   ,  -   ,
,5269,  4 ,  -   ,  0.0000 , #VALUE!,  0.0000 , -,  1 ,  0.04 ,  5.00 ,  35.00 ,  110.00 ,
,2694,  123 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,  -   ,  -   ,  -   ,  -   ,
,5270,  30 ,  -   ,  0.0000 , #VALUE!,  0.0000 , -,  1 ,  0.00 ,  12.00 ,  12.00 ,  45.00 ,
,2695,  150 ,  13 ,  0.0778 ,  -   ,  0.0778 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,
,2696,  79 ,  4 ,  0.0176 ,  -   ,  0.0352 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,
,2697,  585 ,  74 ,  0.0004 ,  -   ,  0.0307 ,  -   ,  80 ,  -   ,  -   ,  -   ,  -   ,
,2698,"  1,311 ",  178 ,  0.0005 ,  -   ,  0.0308 ,  -   ,  60 ,  -   ,  -   ,  -   ,  -   ,
,2699,  834 ,  101 ,  0.0006 ,  -   ,  0.0362 ,  -   ,  60 ,  -   ,  -   ,  -   ,  -   ,
,2700,  518 ,  87 ,  0.0001 ,  0.0013 ,  0.0130 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2701,  645 ,  103 ,  0.0001 ,  0.0013 ,  0.0130 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2702,  927 ,  140 ,  0.0002 ,  0.0010 ,  0.0105 ,  5 ,  50 ,#N/A,#N/A,#N/A,#N/A,
,2703,  968 ,  198 ,  0.0006 ,  -   ,  0.0117 ,  -   ,  20 ,#N/A,#N/A,#N/A,#N/A,
,5271,  46 ,  -   ,  0.0009 , #VALUE!,  0.0180 , -,  20 ,  0.75 ,  500.00 ,  90.00 ,  20.00 ,
,2704,  622 ,  91 ,  0.0002 ,  0.0016 ,  0.0158 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2705,  793 ,  108 ,  0.0003 ,  0.0026 ,  0.0262 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2706,"  1,150 ",  142 ,  0.0003 ,  0.0026 ,  0.0262 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2707,  974 ,  141 ,  0.0004 ,  0.0038 ,  0.0375 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2708,  586 ,  79 ,  0.0004 ,  0.0038 ,  0.0375 ,  10 ,  100 ,#N/A,#N/A,#N/A,#N/A,
,2709,  369 ,  59 ,  0.0007 ,  0.0042 ,  0.0416 ,  6 ,  60 ,#N/A,#N/A,#N/A,#N/A,
,2710,"  2,141 ",  236 ,  0.0005 ,  0.0064 ,  0.0256 ,  12 ,  48 ,#N/A,#N/A,#N/A,#N/A,
,2711,  662 ,  77 ,  0.0355 ,  -   ,  0.0710 ,  -   ,  2 ,#N/A,#N/A,#N/A,#N/A,
,2712,"  3,574 ",  540 ,  0.0007 ,  0.0083 ,  0.0826 ,  12 ,  120 ,  0.13 ,  75.00 ,  29.60 ,  260.00 ,
,2713,  560 ,  110 ,  0.0001 ,  0.0007 ,  0.0426 ,  10 ,  600 ,  0.05 ,  8.30 ,  21.10 ,  143.60 ,
,2714,  810 ,  147 ,  0.0001 ,  0.0007 ,  0.0219 ,  10 ,  300 ,  0.07 ,  8.70 ,  23.80 ,  152.90 ,
,2715,  579 ,  116 ,  0.0001 ,  0.0014 ,  0.0282 ,  10 ,  200 ,  0.11 ,  10.10 ,  27.00 ,  172.30 ,
,2716,  515 ,  105 ,  0.0001 ,  0.0014 ,  0.0282 ,  10 ,  200 ,  0.14 ,  10.60 ,  32.20 ,  195.60 ,
,2717,  528 ,  72 ,  0.0005 ,  0.0030 ,  0.0240 ,  6 ,  48 ,  0.25 ,  14.50 ,  100.00 ,  170.00 ,
,2718,  299 ,  49 ,  0.0134 ,  0.0802 ,  0.6415 ,  6 ,  48 ,  0.34 ,  15.50 ,  100.00 ,  170.00 ,
,2719,  336 ,  36 ,  0.0019 ,  -   ,  0.0189 ,  -   ,  10 ,  0.93 ,  33.00 ,  185.00 ,  220.00 ,
,2720,  159 ,  18 ,  0.0019 ,  -   ,  0.0189 ,  -   ,  10 ,  1.01 ,  33.00 ,  185.00 ,  220.00 ,
,2721,  835 ,  136 ,  0.0008 ,  0.0094 ,  0.0754 ,  12 ,  96 ,  0.14 ,  60.00 ,  115.00 ,  165.00 ,
,2722,  280 ,  49 ,  0.0028 ,  -   ,  0.0276 ,  -   ,  10 ,  2.03 ,  175.00 ,  120.00 ,  100.00 ,
,2723,  251 ,  37 ,  0.0034 ,  -   ,  0.0274 ,  -   ,  8 ,  2.86 ,  210.00 ,  125.00 ,  110.00 ,
,2724,  265 ,  47 ,  0.0043 ,  -   ,  0.0257 ,  -   ,  6 ,  3.67 ,  210.00 ,  130.00 ,  120.00 ,
,2725,  219 ,  40 ,  0.0059 ,  -   ,  0.0236 ,  -   ,  4 ,  4.82 ,  225.00 ,  145.00 ,  140.00 ,
,2726,  220 ,  32 ,  0.0091 ,  -   ,  0.0182 ,  -   ,  2 ,  9.20 ,  255.00 ,  180.00 ,  165.00 ,
,2727,  220 ,  40 ,  0.0113 ,  -   ,  0.0227 ,  -   ,  2 ,  11.52 ,  300.00 ,  180.00 ,  180.00 ,
,2728,  102 ,  15 ,  0.0155 ,  -   ,  0.0155 ,  -   ,  1 ,  20.10 ,  325.00 ,  230.00 ,  220.00 ,
,2729,  258 ,  37 ,  0.0004 ,  -   ,  0.0236 ,  -   ,  60 ,  0.28 ,  89.00 ,  74.00 ,  68.00 ,
,2731,  162 ,  31 ,  0.0010 ,  -   ,  0.0198 ,  -   ,  20 ,  0.88 ,  108.00 ,  105.00 ,  100.00 ,
,2732,  269 ,  397 ,  0.0008 ,  0.0050 ,  0.0398 ,  6 ,  48 ,  0.49 ,  30.00 ,  93.00 ,  315.00 ,
,5272,"  1,917 ",  -   ,  0.0009 ,  0.0053 ,  0.0421 ,  6 ,  48 ,  0.49 ,  30.00 ,  93.00 ,  315.00 ,
,2733,  408 ,  86 ,  0.0063 ,  -   ,  0.0379 ,  -   ,  6 ,  2.15 ,  55.00 ,  50.00 ,  670.00 ,
,5273,  46 ,  -   ,  0.0018 , #VALUE!,  0.0110 , -,  6 ,  2.15 ,  55.00 ,  50.00 ,  670.00 ,
,2734,  1 ,  40 ,  0.0027 ,  -   ,  0.0162 ,  -   ,  6 ,  2.03 ,  60.00 ,  125.00 ,  605.00 ,
,5274,  193 ,  -   ,  0.0045 , #VALUE!,  0.0272 , -,  6 ,  2.03 ,  60.00 ,  125.00 ,  605.00 ,
,2735,  304 ,  40 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  0.18 ,  23.40 ,  22.80 ,  180.00 ,
,2736,"  1,702 ",  245 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  0.18 ,  23.40 ,  23.03 ,  200.00 ,
,2737,  455 ,  75 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  0.19 ,  25.00 ,  25.00 ,  205.00 ,
,2738,  545 ,  75 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  0.21 ,  25.00 ,  25.00 ,  205.00 ,
,2739,  141 ,  27 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  0.23 ,  22.58 ,  22.82 ,  210.00 ,
,2740,  542 ,  82 ,  0.0002 ,  0.0096 ,  0.0191 ,  50 ,  100 ,  -   ,  -   ,  -   ,  -   ,
,2741,  92 ,  16 ,  0.0002 ,  0.0076 ,  0.0153 ,  40 ,  80 ,  0.26 ,  23.11 ,  22.76 ,  220.00 ,
,2742,  675 ,  40 ,  0.0002 ,  0.0076 ,  0.0153 ,  40 ,  80 ,  0.27 ,  23.17 ,  22.60 ,  225.00 ,
,2743,  281 ,  14 ,  0.0002 ,  0.0054 ,  0.0108 ,  25 ,  50 ,  0.30 ,  22.83 ,  22.80 ,  225.00 ,
,2744,  588 ,  87 ,  0.0004 ,  0.0093 ,  0.0186 ,  25 ,  50 ,  0.30 ,  25.00 ,  25.00 ,  225.00 ,
,2745,  86 ,  16 ,  0.0004 ,  0.0092 ,  0.0183 ,  25 ,  50 ,  -   ,  -   ,  -   ,  -   ,
,2746,  185 ,  33 ,  0.0004 ,  0.0092 ,  0.0183 ,  25 ,  50 ,  0.37 ,  30.00 ,  30.00 ,  230.00 ,
,2747,  40 ,  12 ,  0.0004 ,  0.0092 ,  0.0183 ,  25 ,  50 ,  0.37 ,  30.00 ,  30.00 ,  225.00 ,
